route_number,route
1,O-Train Tunney's Pasture <-> Blair
2,O-Train Bayview <-> South Keys
5,Billings Bridge <-> Rideau
6,Greenboro <-> Rockcliffe
7,Carleton <-> St-Laurent
9,Rideau <-> Hurdman
10,Hurdman <-> Lyon
11,Parliament <-> Bayshore
12,Blair <-> Parliament
14,St-Laurent <-> Tunney's Pasture
15,Blair <-> Gatineau
16,Main <-> Tunney's Pasture/Westboro
18,St-Laurent <-> Rideau
19,Parliament <-> St-Laurent
20,Vanier <-> St-Laurent
21,Canotek <-> Blair
23,Rothwell Heights & Blair
24,Beacon Hill <-> St-Laurent
25,La Cité <-> Millennium
26,Pineview <-> Blair
27,Wateridge <-> St-Laurent
28,Blackburn Hamlet <-> Blair
30,Blair <-> Millennium
31,Place d'Orléans <-> Blair
32,Blair <-> Chapel Hill
33,Blair <-> Portobello
34,Blair <-> Renaud
35,Blair <-> Esprit
37,Queenswood Heights <-> Place d'Orléans
38,Blair <-> Jeanne d'Arc/Trim
39,Blair & N Rideau <-> Millennium
40,St-Laurent <-> Greenboro
42,Blair <-> Hurdman
44,Billings Bridge <-> Hurdman
45,Hospital <-> Hurdman & N Rideau
46,Hurdman <-> Billings Bridge
47,Hawthorne <-> St-Laurent
48,Elmvale <-> Hurdman
49,Elmvale <-> Hurdman
50,Tunney's Pasture <-> Lincoln Fields
51,Tunney's Pasture <-> Britannia
53,Tunney's Pasture <-> Carlington
54,Tunney’s Pasture
55,Elmvale <-> Westgate
56,King Edward <-> Tunney's Pasture
57,Tunney's Pasture & N Rideau <-> Crystal Bay
58,Crystal Bay <-> Lincoln Fields
61,Tunney's Pasture & N Rideau & Gatineau <-> Stittsville
62,Tunney's Pasture <-> Stittsville & Terry Fox
63,Briarbrook via Innovation <-> Tunney's Pasture via Briarbrook & Gatineau
64,Morgan's Grant via Innovation <-> Tunney's Pasture via Morgan's Grant
66,Kanata-Solandt <-> Gatineau
67,Terry Fox & Tunney's Pasture <-> Cope
73,Leikin <-> Tunney's Pasture
74,Nepean Woods <-> Tunney's Pasture
75,Tunney's Pasture & Gatineau & N Rideau <-> Barrhaven Centre
80,Barrhaven Centre <-> Tunney’s Pasture
81,Tunney's Pasture <-> Clyde
82,Lincoln Fields & Tunney's Pasture <-> Bayshore
83,Baseline <-> Viewmount
84,Centrepointe <-> Baseline
85,Gatineau <-> Bayshore
86,Tunney's Pasture <-> Baseline
87,Tunney's Pasture <-> Baseline
88,Hurdman <-> Terry Fox
89,Tunney's Pasture <-> Colonnade
90,Greenboro <-> Hurdman
92,Greenboro <-> Hurdman
93,Greenboro / Hurdman <-> Leitrim
96,Greenboro/Hurdman <-> Merivale
97,Airport <-> Hurdman & N Rideau
98,Hawthorne <-> Hurdman
99,Barrhaven Centre <-> Greenboro & Hurdman
110,Innovation <-> Fallowfield
111,Carleton <-> Baseline
114,Rideau <-> Carlington
131,Chapel Hill & Place d'Orléans <-> Fallingbrook & Place d'Orléans
138,Innes <-> Place d'Orléans
139,Petrie Island <-> Place d'Orléans
140,Herongate <-> Billings Bridge
141,Heron Park & Billings Bridge
153,Tunney's Pasture <-> Lincoln Fields
154,Queensway Terrace <-> Lincoln Fields
155,Queensway Terrace <-> Bayshore
158,Bayshore <-> Haanel
161,Bridlewood <-> Terry Fox
162,Stittsville <-> Terry Fox
164,Hope Side <-> Terry Fox
165,Innovation <-> Terry Fox
166,Innovation <-> Eagleson
168,Bridlewood <-> Terry Fox
170,Fallowfield & CFIA <-> Barrhaven Centre
171,Fallowfield <-> Barrhaven Centre
173,Barrhaven Centre <-> Bayshore & Fallowfield
175,Golflinks <-> Barrhaven Centre
176,Manotick <-> Barrhaven Centre
185,Experimental Farm / Bayview
186,Lincoln Fields <-> Merivale / Slack
187,Baseline <-> Amberwood
190,Mooney's Bay <-> Hurdman
197,Uplands <-> Greenboro
198,Riverview <-> Greenboro
199,Leikin <-> Hurdman
221,Blair <-> Cumberland
222,Blair <-> Vars
228,Blair <-> Navan-Sarsfield
231,Blair <-> Meadowglen
232,Blair <-> Queenswood Heights
234,Blair <-> Tenth Line
236,Blair <-> Esprit
237,Blair <-> Jeanne d'Arc
252,Tunney's Pasture <-> Templeford
256,Tunney's Pasture <-> Bridlewood
257,Tunney's Pasture <-> Bridlewood
258,Grandview <-> Tunney's Pasture
261,Tunney's Pasture <-> Stittsville Main
262,Tunney's Pasture <-> West Ridge
263,Tunney's Pasture <-> Stanley Corners
264,Tunney's Pasture <-> Terry Fox
265,Tunney's Pasture <-> Beaverbrook
267,Tunney's Pasture <-> Glen Cairn
268,Tunney's Pasture <-> Kanata Lakes
270,Tunney's Pasture <-> Cedarview
271,Tunney's Pasture <-> Stoneway
272,Tunney's Pasture <-> Cobble Hill
273,Tunney's Pasture <-> Tartan
277,Tunney's Pasture <-> Nepean Woods
278,Tunney's Pasture <-> Riverside South
282,Tunney's Pasture <-> Trend-Arlington
283,Tunney's Pasture <-> Richmond / Munster
290,McCarthy <-> Hurdman
291,Hurdman <-> Herongate
294,Hurdman <-> Findlay Creek
299,Hurdman <-> Manotick
301,Bayshore / Carlingwood <-> Richmond / Stittsville
302,St-Laurent / Place d'Orléans <-> Cumberland
303,Bayshore / Carlingwood <-> Dunrobin / Carp / Stittsville
304,Billings Bridge / South Keys <-> Metcalfe / Greely
305,Carlingwood <-> North Gower / Manotick
404,Canadian Tire Centre
405,Canadian Tire Centre
406,Canadian Tire Centre
450,Lansdowne <-> Rideau
451,Lansdowne <-> Blair
452,Lansdowne <-> South Keys
454,Lansdowne <-> Kanata Terry Fox
455,Lansdowne <-> Orléans / Trim
456,Lansdowne <-> Barrhaven Centre
602,De La Salle <-> Mackenzie King
609,De La Salle <-> Elmvale
611,Gisèle Lalonde <-> Orléans
612,Special <-> Orléans
613,Hurdman
615,Parliament
616,Gloucester H.S <-> Parliament
618,Louis Riel <-> Millennium
619,Louis Riel <-> Blair
620,St-Laurent
622,Colonel By / Gloucester H.S / Lester B. Pearson <-> Renaud
624,Gloucester H.S. <-> Rideau
628,Louis Riel
630,Blair / Colonel By / Gloucester H.S <-> Millennium
631,Colonel By / Gloucester H.S <-> Chapel hill
632,Gisèle Lalonde <-> Orléans
633,Lester B. Pearson <-> St-Laurent
634,Mer Bleue <-> Place d'Orléans
635,Carine Wilson H.S <-> Orléans
636,Place d'Orléans
638,Orléans
639,Gisèle <-> Place d'Orléans
640,Brookfield <-> South Keys
641,Louis Riel <-> Orléans
644,Canterbury <-> Greenboro
645,Hurdman
648,Louis Riel <-> Orléans
649,Hillcrest <-> Greenboro
658,Grandview <-> Bell H.S
660,Bell H.S <-> Innovation
661,Bell <-> Terry Fox
664,Earl of March H.S <-> Terry Fox
665,Bell <-> Kanata
667,Holy Trinity <-> Summergaze
668,Holy Trinity H.S <-> Bridlewood
669,Bell <-> Bayshore
670,St. Pius <-> Nepean South
671,John McCrae H.S <-> Half Moon Bay
672,John McCrae H.S <-> Golflinks
674,All Saints <-> Kanata
675,Bell H.S <-> Minto Rec
676,Mother Teresa H.S <-> Riverview
678,Louis Riel <-> Orléans
680,Merivale H.S <-> Riverside South
681,Bell H.S <-> Kanata
686,Baseline
688,Merivale H.S <-> Terry Fox
689,Omer-Deslauriers <-> Billings Bridge
691,Deslauriers <-> Bayshore
693,Blossom Park <-> St. Francis Xavier H.S
698,St. Patrick H.S. <-> Blohm
699,Pierre-de-Blois <-> Findlay Creek
